年月日,10分間降水量の最大(mm),降水量の合計(mm),平均風速(m/s),最大風速(m/s),平均気温(℃),最高気温(℃),最低気温(℃)
2021/6/27,0,0,1.1,2.9,22.8,26.9,20.2
2021/6/28,0.5,1.5,1.6,4,22.7,26.7,19.2
2021/6/29,1,4,2.2,4.9,22.8,27.3,19.9
2021/6/30,0.5,3.5,2.3,5.4,24,28.1,19.9
2021/7/1,4.5,13.5,2.4,5.2,23.3,25.4,20.9
2021/7/2,2,14,1.7,3.7,23.8,26.3,21.8
2021/7/3,0.5,0.5,2.3,4.7,25.7,29.9,23
2021/7/4,0,0,4.7,7,25.5,28,23.7
2021/7/5,0,0,2.9,5.5,26.2,28.8,23.9
2021/7/6,0,0,2.2,4.3,26.7,30.1,24.4
2021/7/7,8.5,79.5,2,4.2,24.4,26.9,22.9
2021/7/8,5.5,57.5,2.2,5.8,24,26.3,22.2
2021/7/9,6,12,2.1,5.7,25,27.5,24.1
2021/7/10,3,4,1.9,3.8,25.6,28.2,23.6
2021/7/11,0,0,2.6,5.6,25.2,29.7,22.7
2021/7/12,6,10,1.4,7,23.1,27,20.9
2021/7/13,0,0,1.2,3.5,24.5,29,20.5
2021/7/14,9.5,15,1.6,6.8,24.5,30.6,22
2021/7/15,0.5,2.5,1.8,5.7,24.6,28.7,22.1
2021/7/16,1,5.5,1.7,4.1,25.2,29.8,21.7
2021/7/17,0,0,2,4.5,26.9,32.2,22.9
2021/7/18,1.5,1.5,1.9,6.4,26.6,31.5,22.5
2021/7/19,0,0,2.1,4.8,27.3,31.7,23.1
2021/7/20,0,0,1.4,5,26.8,32,23.2
2021/7/21,0,0,1.9,4.9,27.3,32.1,22.3
2021/7/22,0,0,1.8,4.3,27.1,31.7,21.9
2021/7/23,0,0,2.2,5.1,27.2,31.8,22.8
2021/7/24,0,0,2.2,5.2,27.2,31,24.4
2021/7/25,0,0,1.7,5.2,27.1,31.9,23.7
2021/7/26,0,0,1.9,4.8,27.5,32.2,22.7
2021/7/27,0,0,2.3,5.3,27.8,32.9,23.6
2021/7/28,0,0,1.8,4.2,27.2,31.2,22.9
2021/7/29,0,0,2.8,5.3,27.7,31.6,25.1
2021/7/30,0,0,2.1,4.9,27.9,31.7,24.4
2021/7/31,0,0,2,5,27.9,31.9,24.2
2021/8/1,0,0,2.5,5.5,27.9,33,25.2
2021/8/2,0,0,2.9,5.2,28.3,32.4,25.6
2021/8/3,14.5,74.5,2.1,4.8,26.3,30.3,23.5
2021/8/4,0,0,1.8,3.8,28.1,32.7,23.9
2021/8/5,0,0,2,4.6,28.9,34.1,24.3
2021/8/6,0,0,2.3,5.1,28.4,34.3,24.1
2021/8/7,0,0,2.4,5,29.6,34.8,25.6
2021/8/8,0,0,2.6,6.6,28.7,33.5,24.4
2021/8/9,3.5,27.5,7.9,16.1,25.5,28.3,23.2
2021/8/10,0,0,3.7,6.6,26.2,29.4,23.2
2021/8/11,0,0,2.1,5,25.2,28.7,21.7
2021/8/12,3.5,16.5,1.9,4.2,23.7,25.1,22.3
2021/8/13,8,77.5,4.5,10.8,24.3,25.3,23.1
2021/8/14,2,24,3.3,8.3,24.5,26.5,21.3
2021/8/15,4,31,2.8,5.8,23.5,29.3,20.2
2021/8/16,0,0,1.6,3.4,23.7,25.7,21.4
2021/8/17,2.5,36,4.4,8.7,23.8,25.1,22.7
2021/8/18,2.5,31.5,4.6,7.5,24.2,26.9,22.4
2021/8/19,1,13,2.2,5.7,22.3,23.9,20.8
2021/8/20,0.5,2.5,2,6.8,23.5,27.7,20.7
2021/8/21,0,0,3.9,8.3,25,27.8,22.4
2021/8/22,0.5,1.5,4.4,7.2,26,29.2,24.7
2021/8/23,0,0,2.2,4.3,26.4,29.9,24.3
2021/8/24,0,0,5.9,9.9,26,28,24.9
2021/8/25,0,0,4,6,27.3,30.9,24.9
2021/8/26,0,0,2.7,4.9,27.4,30.5,25.1
2021/8/27,0,0,1.6,4,27.4,31.7,23.3
2021/8/28,0,0,2.6,5.7,27.8,30.8,24
2021/8/29,0,0,2,4.5,27.8,31.2,24.4
2021/8/30,0,0,2.1,4.8,27.6,31.4,24.2
2021/8/31,0,0,2.4,4.4,27.4,32.4,24.4
2021/9/1,0,0,2.4,4.3,25.9,29,22.3
2021/9/2,8,52.5,2.2,4.4,23.6,26,21.2
2021/9/3,5,35.5,1.3,2.9,21.8,23.5,20.4
